Wall time,Step,Value
1530805486.2356772,100,0.2123114913702011
1530806004.0400932,200,0.3017364740371704
1530806490.8705866,300,0.3325097858905792
1530807005.450428,400,0.34295013546943665
1530807511.6224437,500,0.35284101963043213
1530807992.0630732,600,0.34805983304977417
1530808480.7788153,700,0.3464703857898712
1530808959.698179,800,0.34510716795921326
